protein	KO	enrichM_annotation
WP_028162753.1	K07277	"SAM50, TOB55, bamA; outer membrane protein insertion porin family"
WP_028664379.1	K21572	"susD; starch-binding outer membrane protein, SusD/RagB family"
WP_028757426.1	K10021	"occP, nocP; octopine/nopaline transport system ATP-binding protein [EC:7.4.2.1]"
WP_028980758.1	K00600	"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
WP_028993734.1	K14393	actP; cation/acetate symporter
WP_028994152.1	K07340	ybbJ; inner membrane protein
custom_1196987_3	K02907	"RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30"
custom_146400_3	K03738	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]
WP_030220108.1	K02379	fdhD; FdhD protein
WP_031393368.1	K13599	"ntrX; two-component system, NtrC family, nitrogen regulation response regulator NtrX"
custom_895874_2	K02911	"RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
custom_2334816_17	K00411	"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
custom_636017_8	K03406	mcp; methyl-accepting chemotaxis protein
custom_2062739_3	K00873	"PK, pyk; pyruvate kinase [EC:2.7.1.40]"
custom_2001720_5	K18139	"oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system"
custom_2591797_43	K02276	"coxC, ctaE; cytochrome c oxidase subunit III [EC:7.1.1.9]"
custom_132173_8	K09181	yfiQ; acetyltransferase
custom_2527274_7	K01515	nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13]
custom_745369_30	K01810	"GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]"
custom_1437634_8	K00052	"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
custom_2377251_3	K00762	pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
custom_642073_4	K05791	terZ; tellurium resistance protein TerZ
custom_41517_4	K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]
custom_2292621_30	K00625	"E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]"
custom_2520553_11	K01560	E3.8.1.2; 2-haloacid dehalogenase [EC:3.8.1.2]
custom_1010621_12	K03406	mcp; methyl-accepting chemotaxis protein
custom_501866_25	K07152	SCO1; protein SCO1
custom_1874189_27	K20034	dmdB; 3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]
custom_2080912_5	K08084	fimT; type IV fimbrial biogenesis protein FimT
custom_987014_4	K03791	K03791; putative chitinase
WP_031432434.1	K03594	bfr; bacterioferritin [EC:1.16.3.1]
custom_2185071_15	K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
WP_035061757.1	K02895	"RP-L24, MRPL24, rplX; large subunit ribosomal protein L24"
WP_035309230.1	K03406	mcp; methyl-accepting chemotaxis protein
WP_035540254.1	K16410	stiF; stigmatellin polyketide synthase StiF
WP_035930530.1	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
WP_036165288.1	K02838	"frr, MRRF, RRF; ribosome recycling factor"
custom_374191_2	K02078	acpP; acyl carrier protein
WP_036808116.1	K01589	purK; 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]
custom_2190297_40	K01273	DPEP; membrane dipeptidase [EC:3.4.13.19]
custom_1758877_125	K02926	"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
WP_038302187.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_1571472_4	K05807	bamD; outer membrane protein assembly factor BamD
custom_1465685_9	K00344	"qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]"
custom_967558_24	K02892	"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
custom_967558_18	K02904	"RP-L29, rpmC; large subunit ribosomal protein L29"
BAQ18875.1	K02556	motA; chemotaxis protein MotA
KIF17122.1	K01966	"PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]"
WP_040040698.1	K02305	norC; nitric oxide reductase subunit C
WP_042696011.1	K00873	"PK, pyk; pyruvate kinase [EC:2.7.1.40]"
custom_136105_7	K15977	K15977; putative oxidoreductase
custom_901425_51	K09136	ycaO; ribosomal protein S12 methylthiotransferase accessory factor
AJP49533.1	K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
CFX52907.1	K04078	"groES, HSPE1; chaperonin GroES"
KJS04529.1	K01299	E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]
WP_046134690.1	K02032	ddpF; peptide/nickel transport system ATP-binding protein
WP_047326205.1	K02453	gspD; general secretion pathway protein D
WP_047484389.1	K00337	nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
WP_047563916.1	K02888	"RP-L21, MRPL21, rplU; large subunit ribosomal protein L21"
custom_1332483_9	K10543	xylF; D-xylose transport system substrate-binding protein
custom_398442_23	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
custom_841949_3	K05795	terD; tellurium resistance protein TerD
custom_455440_6	K00793	"ribE, RIB5; riboflavin synthase [EC:2.5.1.9]"
KMV74149.1	K04077	"groEL, HSPD1; chaperonin GroEL"
custom_41555_27	K15750	"bphAb, bphA2, bphE; biphenyl 2,3-dioxygenase subunit beta [EC:1.14.12.18]"
AKU93539.1	K02931	"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
KNZ34236.1	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
WP_054018842.1	K15866	"paaG; 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]"
WP_054138594.1	K03285	"TC.GBP; general bacterial porin, GBP family"
KPJ95996.1	K00801	FDFT1; farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]
KPL23698.1	K07696	"nreC; two-component system, NarL family, response regulator NreC"
WP_054619931.1	K04090	E1.2.7.8; indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
KPX74537.1	K00457	"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"
custom_1372460_1	K00940	"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
WP_055422598.1	K00573	"E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]"
WP_055909846.1	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
custom_937990_16	K04564	"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
custom_1435653_152	K02994	"RP-S8, rpsH; small subunit ribosomal protein S8"
WP_056390275.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
WP_056465002.1	K03285	"TC.GBP; general bacterial porin, GBP family"
WP_056465139.1	K01669	phrB; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
custom_1092003_10	K06200	cstA; carbon starvation protein
custom_1797165_6	K07795	tctC; putative tricarboxylic transport membrane protein
custom_1891533_2	K00411	"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
WP_057590481.1	K06149	uspA; universal stress protein A
custom_991562_1	K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
WP_058069004.1	K14393	actP; cation/acetate symporter
WP_058276609.1	K13777	atuF; geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]
custom_1912475_27	K01802	E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]
custom_2063550_82	K00259	ald; alanine dehydrogenase [EC:1.4.1.1]
GAS94658.1	K05991	E3.2.1.123; endoglycosylceramidase [EC:3.2.1.123]
WP_061091011.1	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
AMK59132.1	K04087	hflC; modulator of FtsH protease HflC
custom_137164_2	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
KXK17818.1	K02615	"paaJ; 3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase [EC:2.3.1.223 2.3.1.174]"
KXS37958.1	K11645	"fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
custom_558350_1	K14393	actP; cation/acetate symporter
WP_061968293.1	K02305	norC; nitric oxide reductase subunit C
WP_061990733.1	K21572	"susD; starch-binding outer membrane protein, SusD/RagB family"
WP_062012428.1	K03704	cspA; cold shock protein
WP_062036798.1	K03621	plsX; phosphate acyltransferase [EC:2.3.1.274]
custom_1287513_2	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
custom_546476_94	K02600	nusA; transcription termination/antitermination protein NusA
custom_635376_52	K03643	"lptE, rlpB; LPS-assembly lipoprotein"
custom_635376_38	K07386	pepO; putative endopeptidase [EC:3.4.24.-]
custom_1435653_124	K00799	"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
custom_2245854_163	K04088	hflK; modulator of FtsH protease HflK
custom_1642289_8	K01990	ABC-2.A; ABC-2 type transport system ATP-binding protein
custom_1074337_7	K02113	"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"
custom_2184937_67	K12686	"apeE, estA, lip-1; outer membrane lipase/esterase"
KYP12474.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
custom_1433739_311	K01802	E5.2.1.8; peptidylprolyl isomerase [EC:5.2.1.8]
WP_063332007.1	K02058	ABC.SS.S; simple sugar transport system substrate-binding protein
WP_064301415.1	K01692	"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"
SBT08745.1	K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
SBT08023.1	K06147	"ABCB-BAC; ATP-binding cassette, subfamily B, bacterial"
SBT07109.1	K02959	"RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16"
custom_680483_3	K00700	"GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
custom_1632702_42	K00858	"ppnK, NADK; NAD+ kinase [EC:2.7.1.23]"
ANK81950.1	K01996	livF; branched-chain amino acid transport system ATP-binding protein
SCB08298.1	K00249	"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]"
BAV47318.1	K09806	K09806; uncharacterized protein
custom_1166094_11	K02664	pilO; type IV pilus assembly protein PilO
custom_1668353_13	K03786	"aroQ, qutE; 3-dehydroquinate dehydratase II [EC:4.2.1.10]"
WP_067061506.1	K10001	"gltI, aatJ; glutamate/aspartate transport system substrate-binding protein"
WP_067169917.1	K01897	"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
WP_068289721.1	K02029	ABC.PA.P; polar amino acid transport system permease protein
WP_068635634.1	K03782	katG; catalase-peroxidase [EC:1.11.1.21]
WP_068635969.1	K02897	"RP-L25, rplY; large subunit ribosomal protein L25"
custom_1275018_1	K02393	flgH; flagellar L-ring protein precursor FlgH
AOJ20717.1	K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
AOO54652.1	K14393	actP; cation/acetate symporter
ODT00806.1	K00281	"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"
ODT07828.1	K02055	ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein
ODT35612.1	K02437	"gcvH, GCSH; glycine cleavage system H protein"
ODT37702.1	K07263	pqqL; zinc protease [EC:3.4.24.-]
custom_418429_7	K15727	"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system"
custom_1611181_2	K00029	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"
ODU62978.1	K03406	mcp; methyl-accepting chemotaxis protein
ODV09763.1	K02902	"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
custom_605916_2	K01915	"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
OFW90207.1	K03980	"murJ, mviN; putative peptidoglycan lipid II flippase"
OFZ11523.1	K02406	fliC; flagellin
custom_1751081_6	K06891	clpS; ATP-dependent Clp protease adaptor protein ClpS
OFZ87680.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
OGA14109.1	K03821	"phbC, phaC; polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]"
OGA32703.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
OGA47582.1	K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
OGB04533.1	K18890	"mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump"
OGB23471.1	K00806	uppS; undecaprenyl diphosphate synthase [EC:2.5.1.31]
OGB50488.1	K00666	K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]
OGN86118.1	K00130	"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
OGP09261.1	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
OGQ81669.1	K03500	"rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]"
OGR01534.1	K03412	"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"
OGU38308.1	K01338	lon; ATP-dependent Lon protease [EC:3.4.21.53]
OGW49520.1	K00826	"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
custom_1611079_57	K01924	murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
OHC61911.1	K08483	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]
OHC63626.1	K02010	"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]"
custom_1036333_2	K02067	"mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein"
OHC69802.1	K02409	fliF; flagellar M-ring protein FliF
OHC71439.1	K17229	fccB; sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3]
OHC71591.1	K01940	"argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]"
OHE89468.1	K06077	slyB; outer membrane lipoprotein SlyB
custom_986625_121	K02965	"RP-S19, rpsS; small subunit ribosomal protein S19"
WP_070465513.1	K02994	"RP-S8, rpsH; small subunit ribosomal protein S8"
SEJ42237.1	K00975	glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
SFC69922.1	K21573	susC; TonB-dependent starch-binding outer membrane protein SusC
WP_071414581.1	K02917	"RP-L35Ae, RPL35A; large subunit ribosomal protein L35Ae"
OIP08621.1	K04078	"groES, HSPE1; chaperonin GroES"
SFZ76346.1	K16088	"TC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid"
WP_071810841.1	K03273	"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"
custom_2444193_18	K00024	mdh; malate dehydrogenase [EC:1.1.1.37]
OJV09993.1	K02878	"RP-L16, MRPL16, rplP; large subunit ribosomal protein L16"
OJW19963.1	K12132	"prkC, stkP; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]"
OJW81811.1	K15726	"czcA, cusA, cnrA; heavy metal efflux system protein"
custom_2266401_3	K03530	hupB; DNA-binding protein HU-beta
OJX03208.1	K21395	yiaO; TRAP-type transport system periplasmic protein
OJX07903.1	K03320	"amt, AMT, MEP; ammonium transporter, Amt family"
custom_1780251_4	K06001	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
custom_301458_5	K04564	"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
OJX29997.1	K03116	tatA; sec-independent protein translocase protein TatA
custom_2176079_20	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_86090_57	K00382	"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
OJY12674.1	K11903	hcp; type VI secretion system secreted protein Hcp
OJY20169.1	K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
WP_072037608.1	K21573	susC; TonB-dependent starch-binding outer membrane protein SusC
WP_072101974.1	K00520	merA; mercuric reductase [EC:1.16.1.1]
WP_072283582.1	K05275	E1.1.1.65; pyridoxine 4-dehydrogenase [EC:1.1.1.65]
WP_072366661.1	K21573	susC; TonB-dependent starch-binding outer membrane protein SusC
WP_072898163.1	K02437	"gcvH, GCSH; glycine cleavage system H protein"
custom_2086007_21	K02864	"RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10"
custom_1956612_53	K02110	"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
WP_074279512.1	K04080	ibpA; molecular chaperone IbpA
WP_074907023.1	K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
OLC62121.1	K00940	"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
OLC74155.1	K01689	"ENO, eno; enolase [EC:4.2.1.11]"
OLD66099.1	K06223	dam; DNA adenine methylase [EC:2.1.1.72]
OLE34862.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_734461_5	K06134	COQ7; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
WP_075585271.1	K01869	"LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]"
SIT49168.1	K03406	mcp; methyl-accepting chemotaxis protein
WP_076019943.1	K00344	"qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]"
BAW80283.1	K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
custom_1179269_19	K00764	"purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]"
custom_1818010_105	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
WP_076838187.1	K02335	polA; DNA polymerase I [EC:2.7.7.7]
custom_692264_1	K02358	"tuf, TUFM; elongation factor Tu"
WP_077560458.1	K21395	yiaO; TRAP-type transport system periplasmic protein
WP_078815324.1	K01132	GALNS; N-acetylgalactosamine-6-sulfatase [EC:3.1.6.4]
WP_079416027.1	K03767	PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
custom_1428285_3	K01420	"fnr; CRP/FNR family transcriptional regulator, anaerobic regulatory protein"
custom_106570_5	K00748	lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]
custom_918501_1	K09748	rimP; ribosome maturation factor RimP
WP_079433595.1	K00766	trpD; anthranilate phosphoribosyltransferase [EC:2.4.2.18]
WP_079435018.1	K07240	chrA; chromate transporter
custom_1464332_4	K01733	thrC; threonine synthase [EC:4.2.3.1]
WP_079435755.1	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
custom_246209_3	K03185	ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
custom_1623505_11	K08311	nudH; putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
WP_079437538.1	K16692	etk-wzc; tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]
custom_2035691_34	K00627	"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
WP_079689914.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
custom_396187_260	K02892	"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
OPY63732.1	K04079	"HSP90A, htpG; molecular chaperone HtpG"
custom_2099865_29	K02671	pilV; type IV pilus assembly protein PilV
WP_081487527.1	K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
WP_082007526.1	K16090	fiu; catecholate siderophore receptor
custom_2209513_10	K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
custom_1437141_657	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
custom_1591415_31	K02986	"RP-S4, rpsD; small subunit ribosomal protein S4"
custom_809741_3	K02200	ccmH; cytochrome c-type biogenesis protein CcmH
custom_2063827_3	K01166	RNASET2; ribonuclease T2 [EC:4.6.1.19]
custom_1014909_7	K03594	bfr; bacterioferritin [EC:1.16.3.1]
OQW98249.1	K00059	"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
OQW98398.1	K02965	"RP-S19, rpsS; small subunit ribosomal protein S19"
WP_082210003.1	K02805	"wecE, rffA; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]"
WP_082233045.1	K14338	"cypD_E, CYP102A2_3; cytochrome P450 / NADPH-cytochrome P450 reductase [EC:1.14.14.1 1.6.2.4]"
WP_082590223.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
WP_082853023.1	K02456	gspG; general secretion pathway protein G
WP_082887481.1	K00626	"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"
WP_083509601.1	K03530	hupB; DNA-binding protein HU-beta
WP_083839744.1	K16089	"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins"
WP_084082100.1	K00817	hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]
WP_084245343.1	K02904	"RP-L29, rpmC; large subunit ribosomal protein L29"
WP_084268078.1	K03285	"TC.GBP; general bacterial porin, GBP family"
WP_084313760.1	K18303	mexK; multidrug efflux pump
WP_084523234.1	K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
WP_085020074.1	K00826	"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
WP_085464719.1	K04771	"degP, htrA; serine protease Do [EC:3.4.21.107]"
custom_579613_29	K04063	"osmC, ohr; lipoyl-dependent peroxidase"
WP_086622581.1	K04079	"HSP90A, htpG; molecular chaperone HtpG"
custom_453897_23	K04077	"groEL, HSPD1; chaperonin GroEL"
OUU89567.1	K01137	GNS; N-acetylglucosamine-6-sulfatase [EC:3.1.6.14]
WP_087656473.1	K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
WP_087686425.1	K03273	"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"
WP_088179356.1	K17686	"copA, ctpA, ATP7; P-type Cu+ transporter [EC:7.2.2.8]"
WP_088179463.1	K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
WP_088281367.1	K11896	"impG, vasA; type VI secretion system protein ImpG"
WP_088737929.1	K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
WP_089265924.1	K05712	mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]
WP_089411782.1	K00939	"adk, AK; adenylate kinase [EC:2.7.4.3]"
SCC94142.1	K00674	"dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
WP_089677999.1	K01921	ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]
WP_089681210.1	K03499	"trkA, ktrA; trk system potassium uptake protein"
WP_089979786.1	K00088	"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
custom_1189280_2	K15727	"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system"
custom_8710_3	K02892	"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
custom_155500_12	K02933	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
WP_090661636.1	K02897	"RP-L25, rplY; large subunit ribosomal protein L25"
custom_1593452_108	K04764	"ihfA, himA; integration host factor subunit alpha"
WP_091677804.1	K02433	"gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"
WP_091736616.1	K13015	wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]
WP_091798375.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
WP_091938950.1	K03802	cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
WP_091960644.1	K03595	"era, ERAL1; GTPase"
WP_093197347.1	K21572	"susD; starch-binding outer membrane protein, SusD/RagB family"
WP_093352803.1	K03496	"parA, soj; chromosome partitioning protein"
WP_093881905.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
custom_2082651_7	K02935	"RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12"
OYT88378.1	K02939	"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
OYU00436.1	K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
OYW11064.1	K02994	"RP-S8, rpsH; small subunit ribosomal protein S8"
OYW11348.1	K07814	K07814; putative two-component system response regulator
custom_392898_6	K04488	"iscU, nifU; nitrogen fixation protein NifU and related proteins"
custom_2392316_18	K01999	livK; branched-chain amino acid transport system substrate-binding protein
OYY34710.1	K02275	"coxB, ctaC; cytochrome c oxidase subunit II [EC:7.1.1.9]"
OZA26907.1	K04078	"groES, HSPE1; chaperonin GroES"
OZA28524.1	K07218	nosD; nitrous oxidase accessory protein
WP_094747157.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
WP_094802396.1	K07231	K07231; putative iron-regulated protein
WP_095104716.1	K07274	"mipA, ompV; MipA family protein"
PAS96806.1	K01358	"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
WP_096293373.1	K07263	pqqL; zinc protease [EC:3.4.24.-]
WP_096355779.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_318999_54	K01999	livK; branched-chain amino acid transport system substrate-binding protein
custom_275595_5	K01501	E3.5.5.1; nitrilase [EC:3.5.5.1]
PCH80330.1	K09969	"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
PCI49145.1	K04079	"HSP90A, htpG; molecular chaperone HtpG"
PCI55074.1	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
PCI87270.1	K03530	hupB; DNA-binding protein HU-beta
PCJ71970.1	K06020	ettA; energy-dependent translational throttle protein EttA
PCJ88176.1	K02110	"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
PCJ90260.1	K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
WP_096668132.1	K07239	"TC.HME; heavy-metal exporter, HME family"
custom_2255889_44	K02897	"RP-L25, rplY; large subunit ribosomal protein L25"
PHY01791.1	K06966	ppnN; pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]
WP_099414115.1	K07386	pepO; putative endopeptidase [EC:3.4.24.-]
PID31983.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_1341962_4	K00262	"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]"
PIG08553.1	K08738	CYC; cytochrome c
WP_099657940.1	K08720	ompU; outer membrane protein OmpU
WP_099814537.1	K00799	"GST, gst; glutathione S-transferase [EC:2.5.1.18]"
PIQ13142.1	K09002	csm3; CRISPR-associated protein Csm3
PIU00496.1	K02036	pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]
PIX95843.1	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
PIX98048.1	K03273	"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"
