protein	IPR	GO	Pfam	Interproscan_annotation	
WP_035384271.1	IPR002871	GO:0005506|GO:0016226|GO:0051536	PF01592	"NIF system FeS cluster assembly, NifU, N-terminal"	Reactome: R-HSA-1362409
custom_2063193_12	IPR004167	GO:0016746	PF02817	Peripheral subunit-binding domain	Reactome: R-HSA-389661
custom_2063193_12	IPR001078	GO:0016746	PF00198	"2-oxoacid dehydrogenase acyltransferase, catalytic domain"	Reactome: R-HSA-389661
custom_2063193_12	IPR000089	-	PF00364	Biotin/lipoyl attachment	
WP_131111804.1	IPR007457	GO:0005506	PF04362	Fe(II) trafficking protein YggX	
OJW50036.1	IPR000644	-	PF00571	CBS domain	
OJW50036.1	IPR000644	-	PF00571	CBS domain	
OJW50036.1	IPR001093	GO:0003824|GO:0055114	PF00478	IMP dehydrogenase/GMP reductase	
WP_038217021.1	IPR028081	-	PF13458	Leucine-binding protein domain	
WP_008354288.1	IPR004436	GO:0004450|GO:0006099|GO:0055114	PF03971	"Isocitrate dehydrogenase NADP-dependent, monomeric"	KEGG: 00020+1.1.1.42|KEGG: 00480+1.1.1.42|KEGG: 00720+1.1.1.42|MetaCyc: PWY-5913|MetaCyc: PWY-6549|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7124|MetaCyc: PWY-7254|MetaCyc: PWY-7268
KPK18212.1	IPR002423	GO:0005524	PF00118	Chaperonin Cpn60/TCP-1 family	
custom_46571_3	IPR000534	GO:0016620|GO:0051287|GO:0055114	PF01118	"Semialdehyde dehydrogenase, NAD-binding"	
custom_46571_3	IPR012280	GO:0008652|GO:0016620|GO:0046983	PF02774	"Semialdehyde dehydrogenase, dimerisation domain"	KEGG: 00220+1.2.1.38|MetaCyc: PWY-5154|MetaCyc: PWY-7400
custom_1089304_1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_1089304_1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
WP_007607749.1	IPR025997	-	PF13407	Periplasmic binding protein	
custom_2029332_179	IPR002898	-	PF01618	MotA/TolQ/ExbB proton channel	
OFX78209.1	IPR022383	GO:0016616|GO:0055114	PF02866	"Lactate/malate dehydrogenase, C-terminal"	
OFX78209.1	IPR001236	GO:0016491|GO:0055114	PF00056	"Lactate/malate dehydrogenase, N-terminal"	
WP_096449316.1	IPR007641	GO:0003677|GO:0003899|GO:0006351	PF04560	"RNA polymerase Rpb2, domain 7"	
WP_096449316.1	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
WP_096449316.1	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
WP_096449316.1	IPR007644	GO:0003677|GO:0003899|GO:0006351	PF04563	"RNA polymerase, beta subunit, protrusion"	
WP_096449316.1	IPR007120	GO:0003677|GO:0003899|GO:0006351	PF00562	"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain"	
WP_096449316.1	IPR019462	GO:0003899|GO:0006351	PF10385	"DNA-directed RNA polymerase, beta subunit, external 1 domain"	
WP_096449316.1	IPR007645	GO:0003677|GO:0003899|GO:0006351	PF04565	"RNA polymerase Rpb2, domain 3"	
WP_011483958.1	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
WP_011483958.1	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
custom_1017370_11	IPR016180	GO:0003735|GO:0005840|GO:0006412	PF00252	Ribosomal protein L10e/L16	
custom_931239_2	IPR003715	GO:0015159|GO:0015774|GO:0016020	PF02563	Polysaccharide export protein	
custom_931239_2	IPR019554	-	PF10531	Soluble ligand binding domain	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
custom_1173727_2	IPR003468	-	PF02433	"Cytochrome c oxidase, monohaem subunit/FixO"	
WP_050526234.1	IPR002423	GO:0005524	PF00118	Chaperonin Cpn60/TCP-1 family	
custom_2310840_3	IPR001036	GO:0016020|GO:0022857|GO:0055085	PF00873	Acriflavin resistance protein	
WP_054622221.1	IPR012902	-	PF07963	Prokaryotic N-terminal methylation site	
OGT88907.1	IPR001063	GO:0003735|GO:0005840|GO:0006412	PF00237	Ribosomal protein L22/L17	
PKO30612.1	-	-	PF13343	-	
WP_066886212.1	IPR001424	GO:0006801|GO:0046872	PF00080	"Superoxide dismutase, copper/zinc binding domain"	MetaCyc: PWY-6854|Reactome: R-HSA-3299685
PKM03356.1	IPR041095	-	PF14492	"Elongation Factor G, domain II"	
PKM03356.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
PKM03356.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
PKM03356.1	IPR000640	-	PF00679	"Elongation factor EFG, domain V-like"	
PKM03356.1	IPR005517	GO:0005525	PF03764	"Translation elongation factor EFG/EF2, domain IV"	
custom_987014_4	IPR002477	-	PF01471	Peptidoglycan binding-like	
WP_056390275.1	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
WP_056390275.1	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
PKO42601.1	IPR001734	GO:0016020|GO:0022857|GO:0055085	PF00474	Sodium/solute symporter	
PKO42601.1	IPR001734	GO:0016020|GO:0022857|GO:0055085	PF00474	Sodium/solute symporter	
custom_1077679_109	IPR003468	-	PF02433	"Cytochrome c oxidase, monohaem subunit/FixO"	
WP_020654466.1	IPR033900	GO:0015288|GO:0016020	PF13609	"Porin domain, Gram-negative type"	
custom_1083773_2	-	-	PF14707	-	
custom_1083773_2	IPR000917	GO:0008484	PF00884	"Sulfatase, N-terminal"	
custom_967558_12	IPR000630	GO:0003735|GO:0005840|GO:0006412	PF00410	Ribosomal protein S8	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
WP_099814537.1	IPR004045	GO:0005515	PF02798	"Glutathione S-transferase, N-terminal"	
WP_099814537.1	IPR004046	-	PF00043	"Glutathione S-transferase, C-terminal"	
custom_1322233_171	IPR000043	-	PF05221	Adenosylhomocysteinase-like	KEGG: 00270+3.3.1.1|MetaCyc: PWY-5041
custom_1322233_171	IPR015878	-	PF00670	"S-adenosyl-L-homocysteine hydrolase, NAD binding domain"	KEGG: 00270+3.3.1.1|MetaCyc: PWY-5041
custom_1855743_26	IPR022666	GO:0003735|GO:0005840|GO:0006412	PF00181	"Ribosomal Proteins L2, RNA binding domain"	
custom_1855743_26	IPR022669	GO:0003735|GO:0005840|GO:0006412	PF03947	"Ribosomal protein L2, C-terminal"	
custom_1691453_16	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_1691453_16	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_1691453_16	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_737656_13	IPR002933	GO:0016787	PF01546	Peptidase M20	
custom_737656_13	IPR011650	-	PF07687	"Peptidase M20, dimerisation domain"	
custom_1438714_1	IPR000277	GO:0019346|GO:0030170	PF01053	"Cys/Met metabolism, pyridoxal phosphate-dependent enzyme"	Reactome: R-HSA-1614558|Reactome: R-HSA-1614603|Reactome: R-HSA-2408508
custom_979539_22	IPR003494	GO:0005515|GO:0051301	PF02491	SHS2 domain inserted in FtsA	
custom_979539_22	-	-	PF14450	-	
custom_979539_22	-	-	PF14450	-	
custom_681527_5	IPR018076	-	PF00482	Type II secretion system F domain	
custom_681527_5	IPR018076	-	PF00482	Type II secretion system F domain	
custom_119111_2	IPR022812	-	PF00350	Dynamin superfamily	
TJW70054.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
TJW70054.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_57981_236	-	-	PF13534	-	
custom_57981_236	IPR025192	GO:0009055|GO:0051536	PF13085	Succinate dehydogenase/fumarate reductase N-terminal	KEGG: 00020+1.3.5.1|KEGG: 00190+1.3.5.1|KEGG: 00650+1.3.5.1|KEGG: 00720+1.3.5.1|MetaCyc: PWY-3781|MetaCyc: PWY-4302|MetaCyc: PWY-561|MetaCyc: PWY-5690|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7254|MetaCyc: PWY-7279|Reactome: R-HSA-611105|Reactome: R-HSA-71403
custom_1666148_7	IPR002547	GO:0000049	PF01588	tRNA-binding domain	Reactome: R-HSA-379716
custom_1666148_7	IPR015413	GO:0000166|GO:0004812|GO:0005524|GO:0006418	PF09334	Methionyl/Leucyl tRNA synthetase	
custom_1666148_7	IPR013155	GO:0004812|GO:0006418	PF08264	"Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding"	
custom_1183432_9	IPR007080	GO:0003677|GO:0003899|GO:0006351	PF04997	"RNA polymerase Rpb1, domain 1"	
custom_1183432_9	IPR007081	GO:0003677|GO:0003899|GO:0006351	PF04998	"RNA polymerase Rpb1, domain 5"	
custom_1183432_9	IPR007083	GO:0003677|GO:0003899|GO:0006351	PF05000	"RNA polymerase Rpb1, domain 4"	
custom_1183432_9	IPR000722	GO:0003677|GO:0003899|GO:0006351	PF00623	"RNA polymerase, alpha subunit"	
custom_1183432_9	IPR000722	GO:0003677|GO:0003899|GO:0006351	PF00623	"RNA polymerase, alpha subunit"	
custom_1183432_9	IPR007066	GO:0003677|GO:0003899|GO:0006351	PF04983	"RNA polymerase Rpb1, domain 3"	
custom_1259379_6	IPR000713	GO:0005524|GO:0009058	PF01225	"Mur ligase, N-terminal catalytic domain"	
custom_1259379_6	IPR004101	GO:0005524|GO:0009058|GO:0016874	PF02875	"Mur ligase, C-terminal"	
custom_1259379_6	IPR013221	GO:0005524|GO:0009058	PF08245	"Mur ligase, central"	
custom_1956612_53	IPR002379	GO:0015078|GO:0033177|GO:1902600	PF00137	V-ATPase proteolipid subunit C-like domain	
custom_2456411_12	IPR000834	GO:0004181|GO:0006508|GO:0008270	PF00246	"Peptidase M14, carboxypeptidase A"	
WP_024901274.1	IPR008147	GO:0004356|GO:0006542|GO:0006807	PF03951	"Glutamine synthetase, beta-Grasp domain"	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964|Reactome: R-HSA-210455|Reactome: R-HSA-8964539
WP_024901274.1	IPR008146	GO:0004356|GO:0006807	PF00120	"Glutamine synthetase, catalytic domain"	KEGG: 00220+6.3.1.2|KEGG: 00250+6.3.1.2|KEGG: 00630+6.3.1.2|KEGG: 00910+6.3.1.2|MetaCyc: PWY-381|MetaCyc: PWY-5675|MetaCyc: PWY-6549|MetaCyc: PWY-6963|MetaCyc: PWY-6964
WP_114393363.1	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
WP_114393363.1	IPR003781	GO:0048037	PF02629	CoA-binding	
custom_2337359_2	IPR006175	-	PF01042	YjgF/YER057c/UK114 family	Reactome: R-HSA-8849175
custom_1975239_6	IPR001236	GO:0016491|GO:0055114	PF00056	"Lactate/malate dehydrogenase, N-terminal"	
custom_1975239_6	IPR022383	GO:0016616|GO:0055114	PF02866	"Lactate/malate dehydrogenase, C-terminal"	
OHC67264.1	IPR020811	-	PF03952	"Enolase, N-terminal"	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004
OHC67264.1	IPR020810	-	PF00113	"Enolase, C-terminal TIM barrel domain"	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004
WP_087349485.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
WP_087349485.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
WP_087349485.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
CCY75306.1	IPR007645	GO:0003677|GO:0003899|GO:0006351	PF04565	"RNA polymerase Rpb2, domain 3"	
CCY75306.1	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
CCY75306.1	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
CCY75306.1	IPR007644	GO:0003677|GO:0003899|GO:0006351	PF04563	"RNA polymerase, beta subunit, protrusion"	
CCY75306.1	IPR007120	GO:0003677|GO:0003899|GO:0006351	PF00562	"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain"	
CCY75306.1	IPR007641	GO:0003677|GO:0003899|GO:0006351	PF04560	"RNA polymerase Rpb2, domain 7"	
CCY75306.1	IPR019462	GO:0003899|GO:0006351	PF10385	"DNA-directed RNA polymerase, beta subunit, external 1 domain"	
custom_14756_4	IPR002510	GO:0006508|GO:0008237	PF01523	Metalloprotease TldD/PmbA	
WP_066880780.1	IPR000819	GO:0004177|GO:0006508	PF00883	"Peptidase M17, leucyl aminopeptidase, C-terminal"	KEGG: 00480+3.4.11.1
WP_066880780.1	IPR008283	GO:0004177|GO:0006508	PF02789	"Peptidase M17, leucyl aminopeptidase, N-terminal"	KEGG: 00480+3.4.11.1
PKO69571.1	IPR013126	-	PF00012	Heat shock protein 70 family	Reactome: R-HSA-3371453
custom_1572378_16	IPR019479	GO:0051920|GO:0055114	PF10417	"Peroxiredoxin, C-terminal"	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685
custom_1572378_16	IPR000866	GO:0016209|GO:0016491|GO:0055114	PF00578	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685
custom_2334816_17	IPR019470	GO:0008121|GO:0055114	PF10399	"Ubiquitinol-cytochrome C reductase, Fe-S subunit, TAT signal"	KEGG: 00190+7.1.1.8|MetaCyc: PWY-3781|MetaCyc: PWY-6692|MetaCyc: PWY-7082|MetaCyc: PWY-7279
custom_2334816_17	IPR017941	GO:0016491|GO:0051537|GO:0055114	PF00355	Rieske [2Fe-2S] iron-sulphur domain	
custom_2592635_36	IPR000506	GO:0004455|GO:0009082|GO:0055114	PF01450	"Ketol-acid reductoisomerase, C-terminal"	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111
custom_2592635_36	IPR013116	-	PF07991	"Ketol-acid reductoisomerase, N-terminal"	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111
WP_079543860.1	IPR008932	GO:0003735|GO:0005840|GO:0006412	PF16320	"Ribosomal protein L7/L12, oligomerisation"	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
WP_079543860.1	IPR013823	GO:0003735|GO:0006412	PF00542	"Ribosomal protein L7/L12, C-terminal"	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_1449730_40	IPR000209	GO:0004252|GO:0006508	PF00082	Peptidase S8/S53 domain	
custom_1449730_40	IPR002884	GO:0004252|GO:0006508	PF01483	P domain	
WP_136219810.1	IPR001926	-	PF00291	Pyridoxal-phosphate dependent enzyme	
custom_952210_10	IPR001753	GO:0003824	PF00378	Enoyl-CoA hydratase/isomerase	
WP_071112763.1	IPR016040	-	PF16363	NAD(P)-binding domain	
custom_2075461_32	IPR000307	GO:0003735|GO:0005840|GO:0006412	PF00886	Ribosomal protein S16	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_1092003_21	IPR000424	GO:0003697	PF00436	Primosome PriB/single-strand DNA-binding	Reactome: R-HSA-2151201
custom_1981624_6	IPR012318	GO:0003677|GO:0006355	PF13545	Crp-type HTH domain	
custom_1981624_6	IPR000595	-	PF00027	Cyclic nucleotide-binding domain	
KPK18211.1	IPR020818	GO:0006457	PF00166	GroES chaperonin family	
TAK91513.1	IPR000131	GO:0015986|GO:0045261|GO:0046933	PF00231	"ATP synthase, F1 complex, gamma subunit"	Reactome: R-HSA-163210|Reactome: R-HSA-8949613
custom_1663167_23	IPR007156	-	PF04011	MamQ/LemA	
custom_2591797_43	IPR000298	GO:0015002|GO:0016020	PF00510	Cytochrome c oxidase subunit III-like	Reactome: R-HSA-5628897|Reactome: R-HSA-611105
TAJ18839.1	IPR017941	GO:0016491|GO:0051537|GO:0055114	PF00355	Rieske [2Fe-2S] iron-sulphur domain	
TAJ18839.1	IPR019470	GO:0008121|GO:0055114	PF10399	"Ubiquitinol-cytochrome C reductase, Fe-S subunit, TAT signal"	KEGG: 00190+7.1.1.8|MetaCyc: PWY-3781|MetaCyc: PWY-6692|MetaCyc: PWY-7082|MetaCyc: PWY-7279
custom_509416_4	IPR003959	GO:0005524	PF13304	"ATPase, AAA-type, core"	
custom_301458_54	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_301458_54	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
custom_2447046_8	IPR000866	GO:0016209|GO:0016491|GO:0055114	PF00578	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685
custom_2447046_8	IPR019479	GO:0051920|GO:0055114	PF10417	"Peroxiredoxin, C-terminal"	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685
custom_461493_7	IPR001892	GO:0003723|GO:0003735|GO:0005840|GO:0006412	PF00416	Ribosomal protein S13	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
custom_1460932_12	IPR015848	GO:0003723|GO:0006396	PF03726	"Polyribonucleotide nucleotidyltransferase, RNA-binding domain"	
custom_1460932_12	IPR004088	GO:0003723	PF00013	"K Homology domain, type 1"	
custom_1460932_12	IPR001247	-	PF01138	"Exoribonuclease, phosphorolytic domain 1"	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226
custom_1460932_12	IPR001247	-	PF01138	"Exoribonuclease, phosphorolytic domain 1"	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226
custom_1460932_12	IPR003029	GO:0003676	PF00575	S1 domain	
custom_1460932_12	IPR015847	-	PF03725	"Exoribonuclease, phosphorolytic domain 2"	Reactome: R-HSA-380994|Reactome: R-HSA-429958|Reactome: R-HSA-450385|Reactome: R-HSA-450513|Reactome: R-HSA-450604|Reactome: R-HSA-6791226
custom_103999_19	IPR001179	GO:0003755	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase domain	
WP_129776187.1	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
WP_129776187.1	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
AKJ29192.1	IPR001674	GO:0003922|GO:0005524|GO:0006164|GO:0006177	PF00958	"GMP synthase, C-terminal"	KEGG: 00230+6.3.5.2|KEGG: 00983+6.3.5.2|MetaCyc: PWY-7221|Reactome: R-HSA-73817
AKJ29192.1	IPR017926	-	PF00117	Glutamine amidotransferase	
AKJ29192.1	IPR022310	-	PF02540	NAD/GMP synthase	
WP_084651312.1	IPR011662	GO:0019867	PF07660	"Secretin/TonB, short N-terminal domain"	
WP_084651312.1	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
WP_084651312.1	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
custom_1972317_7	-	-	PF13561	-	
RTL26443.1	IPR012280	GO:0008652|GO:0016620|GO:0046983	PF02774	"Semialdehyde dehydrogenase, dimerisation domain"	KEGG: 00220+1.2.1.38|MetaCyc: PWY-5154|MetaCyc: PWY-7400
RTL26443.1	IPR000534	GO:0016620|GO:0051287|GO:0055114	PF01118	"Semialdehyde dehydrogenase, NAD-binding"	
custom_1021409_17	IPR000944	-	PF02082	Transcription regulator Rrf2-type	
WP_054621528.1	IPR005479	GO:0005524	PF02786	"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain"	
WP_054621528.1	IPR005482	-	PF02785	"Biotin carboxylase, C-terminal"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
WP_054621528.1	IPR005481	-	PF00289	"Biotin carboxylase-like, N-terminal domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
WP_054621528.1	IPR041265	-	PF18140	"Propionyl-coenzyme A carboxylase, BT domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599|Reactome: R-HSA-71032
WP_054621528.1	IPR000089	-	PF00364	Biotin/lipoyl attachment	
WP_100053551.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
WP_100053551.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
WP_100053551.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_2253069_3	IPR009075	GO:0016627|GO:0055114	PF00441	Acyl-CoA dehydrogenase/oxidase C-terminal	
custom_2253069_3	IPR013786	GO:0016627|GO:0050660|GO:0055114	PF02771	"Acyl-CoA dehydrogenase/oxidase, N-terminal"	
custom_2253069_3	IPR006091	GO:0016627|GO:0055114	PF02770	"Acyl-CoA oxidase/dehydrogenase, central domain"	
custom_1585247_23	IPR001911	GO:0003735|GO:0005840|GO:0006412	PF01165	Ribosomal protein S21	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
WP_136384298.1	IPR000119	GO:0003677	PF00216	Histone-like DNA-binding protein	
ATG88550.1	IPR000358	GO:0009263	PF00268	Ribonucleotide reductase small subunit family	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|KEGG: 00983+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943
custom_450525_10	IPR022383	GO:0016616|GO:0055114	PF02866	"Lactate/malate dehydrogenase, C-terminal"	
custom_450525_10	IPR001236	GO:0016491|GO:0055114	PF00056	"Lactate/malate dehydrogenase, N-terminal"	
custom_753651_5	IPR000644	-	PF00571	CBS domain	
custom_1136758_1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_1136758_1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_1136758_1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
WP_125244194.1	IPR000192	-	PF00266	Aminotransferase class V domain	
WP_102041172.1	IPR010941	GO:0042619	PF07167	"Poly-beta-hydroxybutyrate polymerase, N-terminal domain"	
custom_2371518_1	IPR002818	-	PF01965	DJ-1/PfpI	Reactome: R-HSA-3899300|Reactome: R-HSA-9613829|Reactome: R-HSA-9615710
custom_604716_17	IPR005151	GO:0006508|GO:0008236	PF03572	Tail specific protease	Reactome: R-HSA-2187335|Reactome: R-HSA-2453902
custom_604716_17	IPR001478	GO:0005515	PF13180	PDZ domain	
custom_2059775_51	IPR002136	GO:0003735|GO:0005840|GO:0006412	PF00573	Ribosomal protein L4/L1e	
PID41856.1	IPR024605	-	PF12769	"NAD(P) transhydrogenase, alpha subunit, C-terminal"	Reactome: R-HSA-71403
PID41856.1	IPR007698	-	PF01262	"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain"	
PID41856.1	IPR007886	-	PF05222	"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal"	
custom_1468545_1	IPR026888	-	PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain	
custom_1468545_1	IPR003702	GO:0003986|GO:0006083|GO:0008775|GO:0019679	PF02550	Acetyl-CoA hydrolase/transferase	
WP_079432881.1	IPR001633	-	PF00563	EAL domain	
WP_079432881.1	IPR000160	-	PF00990	GGDEF domain	
WP_079432881.1	IPR003660	GO:0007165|GO:0016021	PF00672	HAMP domain	
WP_079432881.1	IPR013655	GO:0005515	PF08447	PAS fold-3	
custom_1449873_43	IPR013823	GO:0003735|GO:0006412	PF00542	"Ribosomal protein L7/L12, C-terminal"	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_1449873_43	IPR008932	GO:0003735|GO:0005840|GO:0006412	PF16320	"Ribosomal protein L7/L12, oligomerisation"	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_2386055_164	IPR003782	-	PF02630	Copper chaperone SCO1/SenC	Reactome: R-HSA-5628897|Reactome: R-HSA-611105
custom_828381_70	IPR009056	GO:0009055|GO:0020037	PF13442	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
custom_828381_70	-	-	PF02239	-	
custom_2246243_13	IPR004089	GO:0007165|GO:0016020	PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	
custom_2246243_13	IPR029095	-	PF13675	"NarX-like, N-terminal"	
custom_753437_7	IPR015944	GO:0000166|GO:0004820|GO:0005524|GO:0005737|GO:0006426	PF02092	"Glycine-tRNA ligase, beta subunit"	KEGG: 00970+6.1.1.14
custom_753437_7	IPR008909	GO:0004814|GO:0005524|GO:0006420	PF05746	DALR anticodon binding	
custom_1350246_70	IPR025493	-	PF14326	Domain of unknown function DUF4384	
WP_120787198.1	IPR004000	-	PF00022	Actin family	
custom_871599_10	IPR005632	GO:0051082	PF03938	Chaperone protein Skp	
