protein	eggNOG	eggNOG_name	eggNOG_annotation
custom_1232496_3	"1MWPK,1S92X,1XK77,COG2030,COG2030"	phaJ	dehydratase
custom_738031_4	"1MYBP,2U787,4B876,COG2885,COG2885"	yiaD	Belongs to the ompA family
custom_2554181_7	"1MYBP,2KVJ406389,2VR0Y,COG2885,COG2885"	yiaD	Belongs to the ompA family
custom_429931_2	"1RCZM,2KVDW06389,2VHTP,COG0352,COG0352,COG0494,COG0494"	mutT	Belongs to the Nudix hydrolase family
custom_1171713_3	"1RDP2,2KWCE06389,2VSRT,COG0779,COG0779"	rimP	Required for maturation of 30S ribosomal subunits
RTL24157.1	"1MU78,2KVSS06389,2VINC,COG0845,COG0845"	cmeA	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
custom_2578750_2	"1MZJM,2KXB206389,2VV99,COG4654,COG4654"	-	Cytochrome c
RTL24386.1	"1R4HB,2WFJG,COG4117,COG4117"	ydhU	Cytochrome b/b6/petB
custom_1284292_9	"1MVBI,2KUHP06389,2VIBP,COG0763,COG0763"	lpxB	"Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell"
RTL24810.1	"1N98H,2C1YJ,2VVT5,32ZXK"	-	Protein of unknown function (DUF2782)
custom_1263679_10	"1QVC7,2KVII06389,2VI6U,COG1034,COG1034"	nuoG	COG1034 NADH dehydrogenase NADH ubiquinone oxidoreductase 75 kD subunit (chain G)
custom_1473960_2	"1MWE1,2KW5106389,2VJ9U,COG1142,COG1142"	-	"4Fe-4S ferredoxin, iron-sulfur binding"
RTL26355.1	"1MU7B,2KWTH06389,2VKQG,COG0069,COG0069"	yerD	Conserved region in glutamate synthase
custom_1658994_3	"1MVIM,2VJT7,COG0438,COG0438"	-	"PFAM Glycosyl transferase, group 1"
custom_2261535_5	"1MUQ8,2KUKH06389,2VMZQ,COG3026,COG3026"	rseB	"Sigma E regulatory protein, MucB RseB"
custom_756205_1	"1QTHZ,2C4IG,2KV8B06389,2VJBR,2Z8A1"	-	Protein of unknown function (DUF1329)
RTL30233.1	"1N07Q,2KX2006389,2VU6N,COG0835,COG0835"	pilI	Chemotaxis signal transduction protein
custom_495544_11	"1NJ8X,2KVWJ06389,2VN12,COG0279,COG0279"	gmhA	Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate
RTL30535.1	"1QU7Z,2MKH1,2X80A,43CKQ,COG1566,COG1566"	yhiI	Biotin-lipoyl like
RTL30536.1	"COG1131,COG1131"	-	ATPase activity
custom_869490_4	"1MUHQ,2KV6X06389,2VHDG,COG1043,COG1043"	lpxA	"Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell"
custom_2514687_5	"1MVW1,2KUR806389,2VKZY,COG3434,COG3434"	yuxH	signal transduction protein containing EAL and modified HD-GYP domains
custom_2356313_4	"1P4TD,2KW8206389,2VMX4,COG2197,COG2197"	agmR	COG2197 Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain
custom_1129766_4	"1RGUH,2KW7M06389,2VR4X,COG2867,COG2867"	ratA	Oligoketide cyclase lipid transport protein
custom_665785_3	"1MUGZ,2KUQC06389,2VIM2,COG0536,COG0536"	obg	"An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control"
custom_1256613_15	"1MWCK,2KUFS06389,2VH7X,COG1270,COG1270"	cobD	Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group
custom_125174_3	"1REBW,2KW7A06389,2VQ39,COG1051,COG1051"	nudC_1	Nudix N-terminal
custom_334935_8	"1MX8P,2KV8N06389,2VH6W,COG4972,COG4972"	pilM	Pilus assembly protein
RTL36349.1	"1MU6I,2KUAJ06389,2VIPS,COG0654,COG0654"	ubiH	Ubiquinone biosynthesis hydroxylase
RTL36441.1	"1MUEZ,2VH77,4ACGQ0864,COG1304,COG1304"	-	PFAM FMN-dependent alpha-hydroxy acid dehydrogenase
custom_1000916_5	"1N72S,2KVCJ06389,2VK9S,COG0631,COG0631"	-	phosphatase
custom_2440145_11	"1N1C2,2CMG5,2KZCB06389,2VVAC,32SEP"	-	-
custom_2339271_2	"1MU5V,2KVAA06389,2VHY3,COG0603,COG0603"	queC	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0))
RTL37472.1	"1MVMW,2KVDH06389,2VH0F,COG1653,COG1653"	ugpB	"ABC-type sugar transport system, periplasmic component"
custom_1891985_26	"1KM48065,1RH4U,2VSF4,COG0848,COG0848"	exbD1	PFAM Biopolymer transport protein ExbD TolR
RTL38287.1	"1N117,2KWT106389,2VSHE,COG2976,COG2976"	yfgM	protein conserved in bacteria
custom_1876875_36	"1RH21,1S98H,1X18F,COG2346,COG2346"	yjbI	Bacterial-like globin
custom_271471_9	"1MURA,2KXA506389,2VJYK,COG0491,COG0491"	blh	Metallo-beta-lactamase superfamily
RTL41125.1	"1N6YN,2KX9P06389,2VVSV,COG3027,COG3027"	zapA	"Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division"
custom_2423909_3	"1MVFS,2KUNH06389,2VHD9,COG0342,COG0342"	secD	glutamate--cysteine ligase
RTL41621.1	"1MWCN,2KUJP06389,2VI13,COG2201,COG2201"	cheB	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR
RTL42883.1	"1MXQE,2KUFI06389,2VI7P,COG1187,COG1187"	rluF	Belongs to the pseudouridine synthase RsuA family
custom_917033_2	"1MVS5,2KUN106389,2VH6I,COG4105,COG4105"	bamD	"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
RTL57769.1	"1MV9X,2KUSM06389,2VI19,COG1536,COG1536"	fliG	flagellar motor switch protein
custom_473504_1	"1N59P,2UCSF,COG1278,COG1278"	MA20_28310	Cold shock protein domain
WP_126128124.1	"1MU6G,2VI0I,473Q4,COG0318,COG0318"	fadD	AMP-binding enzyme C-terminal domain
WP_126462299.1	"1MUY7,2KUH606389,2VIXT,COG0642,COG0784,COG0784,COG2205,COG5000,COG5000"	-	PhoQ Sensor
WP_126541032.1	"1N6Q5,2UF6W,370JA,COG1278,COG1278"	MA20_18395	'Cold-shock' DNA-binding domain
custom_111639_32	"1MU7S,1RPC3,3NJ4I,COG0843,COG0843"	cyoB	Belongs to the heme-copper respiratory oxidase family
WP_126978397.1	"1MZR9,2VSJN,4AEP50864,COG2142,COG2142"	sdhD	"TIGRFAM Succinate dehydrogenase, hydrophobic membrane anchor"
WP_127099815.1	"1JC9M,1MUFU,1RN6U,COG0055,COG0055"	atpD	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits
custom_2474700_49	"1MUMC,2TR96,43IZB,COG0318,COG0318"	-	AMP-binding enzyme
WP_127785983.1	"1MUJD,2JR4804441,2TS5N,COG0508,COG0508"	sucB	The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO(2)
RWA97318.1	"1MUPE,2JP8604441,2TS4U,COG0747,COG0747"	-	"Bacterial extracellular solute-binding proteins, family 5 Middle"
RWI91810.1	"1R6D7,2U3VS,43MRB,COG1879,COG1879"	-	Periplasmic binding protein domain
WP_128199588.1	"1MWPY,1RN4S,1X35Z,COG0450,COG0450"	ahpC	Alkyl hydroperoxide reductase
WP_129131600.1	"1J0KY,4PKVN,COG3637,COG3637"	pagC	"Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety"
AUX37257.1	"1MVUS,2WNTJ,2YZKR,42NB7,COG0225,COG0225,COG0229,COG0229"	msrA	Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine
custom_931844_13	"1INMK,4NE4Q,COG1185,COG1185"	pnp	Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction
custom_301204_25	"1MUV4,2VIVB,4ABS50864,COG0501,COG0501"	htpX	Belongs to the peptidase M48B family
RYF91138.1	"1IQK8,4NE51,COG1262,COG1262"	pkn1	gliding motility-associated lipoprotein GldJ
RYF98859.1	"1IQ08,28H74,2Z7JF,4NFR0"	gldN	TIGRFAM gliding motility associated
RYG39240.1	"COG0147,COG0147"	trpE	"Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine- binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia"
WP_129350806.1	"1MVB9,2M7S7,2WJCE,42MTZ,COG1185,COG1185"	pnp	Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction
custom_582908_9	"1KJXX065,1MVC0,2VH5D,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
RYY83471.1	"1MYBP,2VR0Y,4ACMC0864,COG2885,COG2885"	yiaD	Belongs to the ompA family
RYZ82537.1	"1MVIN,2MSRT,2WIS7,42M9G,COG0649,COG0649"	nuoD	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"
custom_1378133_31	"1R359,2WIFK,COG0636,COG0636"	atpE	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation"
WP_129776187.1	"1MU9K,2VJSU,472GB,COG1629,COG4771"	-	TonB dependent receptor
WP_130008466.1	"1MU1X,2VI6I,3T22E06,COG0304,COG0304"	fabF	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP
RZI98353.1	"1MU5M,2TQJA,4BPP2,COG1053,COG1053"	sdhA	Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily
custom_2333058_3	"1MVJ8,1RN0R,3NJC9,COG4147,COG4147"	actP	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
custom_1090654_138	"1MVB9,2K0IJ04457,2TRH3,COG1185,COG1185"	pnp	Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction
WP_130154123.1	"1MU5C,2TU2W,47F24,COG3516,COG3516,COG3517,COG3517"	-	"Type VI secretion protein, EvpB/VC_A0108, tail sheath"
TAD91194.1	"1MUFZ,2JQAY04441,2TRGN,COG0550,COG0550"	topA	"Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone"
TAG09552.1	"4NE8J,COG2885,COG2885"	-	Belongs to the ompA family
TAG79342.1	"1MV0X,2VIQR,4AB9T0864,COG4774,COG4774"	-	TonB-dependent receptor plug
custom_2092266_5	"1KIV7065,1MV6Q,2VI36,COG2838,COG2838"	icd	Monomeric isocitrate dehydrogenase
TAH03579.1	"1IQK2,4P1Z5,COG1629,COG4771"	-	TonB-dependent receptor plug
custom_2323541_4	"1RBQW,2KUYZ06389,2VHA7,COG0029,COG0029"	nadB	Catalyzes the oxidation of L-aspartate to iminoaspartate
custom_2069471_5	"1MU70,2KV1J06389,2VI6V,COG0026,COG0026"	purK	Catalyzes the ATP-dependent conversion of 5- aminoimidazole ribonucleotide (AIR) and HCO(3)(-) to N5- carboxyaminoimidazole ribonucleotide (N5-CAIR)
TAH50398.1	"1MUJF,2KV4N06389,2VHJJ,COG0172,COG0172"	serS	"Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)"""
custom_576760_3	"1MU7R,2KV2W06389,2VIMV,COG0489,COG0489"	mrp	Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP
TAJ83262.1	"1MVMD,2JPP504441,2TS4J,COG4663,COG4663"	dctP	Part of the tripartite ATP-independent periplasmic (TRAP) transport system
TAK35566.1	"1INSH,4NDW9,COG0539,COG0539"	rpsA	Ribosomal protein S1
custom_2253249_4	"1R40U,2U3KB,3K34G,COG4663,COG4663"	-	"Bacterial extracellular solute-binding protein, family 7"
custom_394551_44	"1IQG6,4NDVC,COG1249,COG1249"	lpdA	COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex dihydrolipoamide dehydrogenase (E3)
WP_131004216.1	"1N7Z2,2UF7W,36Z2R,COG4321,COG4321"	-	Ribbon-helix-helix domain
WP_131110122.1	"1RD39,2KW1Z06389,2VIHV,COG1651,COG1651"	dsbC	Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process
custom_638976_15	"1MXC8,1RN77,3NM4A,COG0049,COG0049"	rpsG	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA"
TCP10629.1	"1MVB8,2KSQ306351,2VHKT,COG0457,COG0457"	-	Cellulose synthase operon protein C C-terminus (BCSC_C)
custom_2246026_9	"1HYUW,2NVS8,4NFHD,COG0668,COG0668"	-	Mechanosensitive ion channel
custom_238391_2	"1RG28,2W23E,COG3391,COG3391"	-	amine dehydrogenase activity
WP_132543325.1	"1RKSC,2BECK,2VS57,3283Q"	-	TIGRFAM conserved
custom_828381_28	"1NW1T,2VQKM,4AEPD0864,COG1538,COG1538"	czcC	Outer membrane efflux protein
WP_132937811.1	"1JRHE045,1MUAX,2TQSI,COG0821,COG0821"	ispG	"Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate"
custom_807638_5	"1MU6J,2VHEV,4AAU80864,COG0465,COG0465"	ftsH	"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins"
WP_132975974.1	"1NRP8,1SKTW,1WXIU,COG0642,COG0784,COG0784,COG2198,COG2198,COG2205"	-	PhoQ Sensor
GCL62669.1	"1MWBH,2VHY1,4ABWB0864,COG0747,COG0747"	-	"PFAM extracellular solute-binding protein, family 5"
TDI66494.1	"47M1J03,4NESB,COG0592,COG0592"	dnaN	"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria"
WP_133259756.1	"47Y4X03,4NG2I,COG0086,COG0086"	rpoC	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
WP_133326510.1	"1MVCK,2VIE0,473JJ,COG2812,COG2812"	dnaX	"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity"
custom_392613_47	"1NMPB,2K1P204457,2TS4F,COG0811,COG0811"	exbB	MotA TolQ ExbB proton channel
WP_133365956.1	"1MUNK,2K0ND04457,2TRCG,COG1629,COG4771"	-	receptor
custom_1449873_22	"1MUM8,2K2F304457,2TRUY,COG0330,COG0330"	qmcA	"COG0330 Membrane protease subunits, stomatin prohibitin homologs"
WP_133366547.1	"1MX8W,2K0Z004457,2TRPM,COG0845,COG0845"	czcB	Barrel-sandwich domain of CusB or HlyD membrane-fusion
custom_1852800_30	"1MVS5,2JZVK04457,2TRZ5,COG4105,COG4105"	bamD	"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
WP_133394122.1	"1MW5U,1RMVW,1X3BB,COG1004,COG1004"	ugd	Belongs to the UDP-glucose GDP-mannose dehydrogenase family
TDN44503.1	"1R4Q2,2KV6R06389,2VKX2,COG4591,COG4591"	-	MacB-like periplasmic core domain
WP_133679123.1	"1MUUF,2KPF706351,2VJ7K,COG0141,COG0141"	hisD	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine
WP_133699899.1	"1KJKH065,1MZ0I,2BXCB,2VJPY,2Z8QU"	phaZ2	"Participates in the degradation of poly-3- hydroxybutyrate (PHB). It works downstream of poly(3- hydroxybutyrate) depolymerase, hydrolyzing D(-)-3-hydroxybutyrate oligomers of various length (3HB-oligomers) into 3HB-monomers"
WP_133796189.1	"1RD1A,2JSCV04441,2U9A0,COG1764,COG1764"	ohr	"redox protein, regulator of disulfide bond formation"
custom_1219429_5	"1MU1B,2KVE106389,2VHPC,COG0437,COG0437"	fdnH-2	"Formate dehydrogenase N, transmembrane"
custom_385089_4	"1MYN4,2KVJB06389,2VHTE,COG0046,COG0046,COG0047,COG0047"	purL	Phosphoribosylformylglycinamidine synthase involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate
custom_944748_3	"1N0HX,2DG9F,2M02T06389,2VTXA,32U6V"	-	LTXXQ motif family protein
WP_134358865.1	"1MUUE,1RNWD,1WW6M,COG0326,COG0326"	htpG	Molecular chaperone. Has ATPase activity
WP_134456437.1	"1K16F060,1NUIV,2VHCZ,COG3696,COG3696"	cusA	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
WP_135191360.1	"1MXH3,2WIEP,COG3468,COG3468"	-	Nidogen-like
custom_1275164_9	"COG0255,COG0255"	rpmC	Belongs to the universal ribosomal protein uL29 family
custom_2075461_18	"1MUJM,2VJMM,4AAG30864,COG0516,COG0516"	guaC	"Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides"
custom_484505_156	"1HXE0,2NTWE,4NH46,COG2825,COG2825"	skp	membrane
custom_1886483_159	"1HXCS,2NTYX,4NG2G,COG1960,COG1960"	fadE	acyl-CoA dehydrogenase
custom_1697744_2	"1N66T,2U5B2,3JT3Y,COG0233,COG0233"	frr	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another
WP_136178799.1	"1RBGW,2VH68,4AANW0864,COG3167,COG3167"	pilO	"Pilus assembly protein, PilO"
WP_136220587.1	"1MVUQ,2VHF7,473SS,COG0162,COG0162"	tyrS	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)
custom_303868_2	"1NA5N,1SE9F,2E7TI,333ZE"	-	TRL-like protein family
custom_131447_1	"COG2433,COG2433"	-	-
WP_136347628.1	"1RJTX,2KWPB06389,2VTQI,COG0517,COG0517"	-	Domain in cystathionine beta-synthase and other proteins.
WP_136348108.1	"1MZ4V,2KWQF06389,2VSCX,COG0278,COG0278"	grxD	Belongs to the glutaredoxin family. Monothiol subfamily
WP_136383431.1	"1MUGG,2KV4106389,2VJ5Q,COG0188,COG0188"	gyrA	"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner"
WP_136384757.1	"1MVUN,2KV2906389,2VIX1,COG0327,COG0327"	ybgI	NIF3 (NGG1p interacting factor 3)
WP_136385540.1	"1R9ZV,2KW3P06389,2VQ55,COG0265,COG0265"	-	"COG0265 Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain"
WP_136385795.1	"1RBGW,2KW2A06389,2VH68,COG3167,COG3167"	pilO	Pilus assembly protein PilO
WP_136386097.1	"1MWQI,2KW4K06389,2VJ8Y,COG4302,COG4302"	eutC	Ethanolamine ammonia-lyase light chain (EutC)
custom_741010_5	"1KKEF065,1MU08,2VHKE,COG2217,COG2217"	cadA	heavy metal translocating P-type ATPase
custom_1453943_3	"COG3360,COG3360"	-	Dodecin
custom_2081026_15	"1MXW1,2TSK2,4B9IS,COG2358,COG2358"	-	NMT1-like family
custom_318999_97	"1N1G0,2UDSZ,36Z2J,COG3184,COG3184"	-	Uncharacterized protein conserved in bacteria (DUF2059)
custom_1669212_42	"1N11P,2TRQ4,3JVI6,COG0683,COG0683"	-	Periplasmic binding protein
WP_137100334.1	"1RH82,2U767,3JQT3,COG0360,COG0360"	rpsF	Binds together with S18 to 16S ribosomal RNA
WP_137100860.1	"1MWAM,2JRAH04441,2TTQ8,COG1638,COG1638"	siaP	"Bacterial extracellular solute-binding protein, family 7"
WP_137177194.1	"1NC3Q,COG1652,COG1652"	-	Flagellar Assembly Protein A
custom_143673_12	"1MU1V,2VMAR,3T2C706,COG1012,COG1012"	gabD4	Aldehyde
AAM84147.1	"1N1IX,1RN9E,41GYM,COG2310,COG2310"	terD	TerD domain
ABC38562.1	"1K24A060,1MU2N,2VKRZ,COG0161,COG0161"	bioA2	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
ABQ70646.1	"1MU1V,2JZVD04457,2TQR1,COG1012,COG1012"	gabD	belongs to the aldehyde dehydrogenase family
custom_427275_5	"1MUS6,2VHBJ,4AACP0864,COG0557,COG0557"	rnr	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs
custom_1558021_24	"1N6YW,2VRC6,4ADZZ0864,COG2913,COG2913"	bamE	"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
EDZ98428.1	"1K3VW060,1MWEB,2VJF4,COG1850,COG1850"	cbbL	"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same active site"
ACI92254.1	"1MUEG,2TR6P,3JSIV,COG1840,COG1840"	fbpA	Bacterial extracellular solute-binding protein
EEQ94142.1	"1J2IJ,1MU7B,2TRHQ,COG0067,COG0067,COG0069,COG0069,COG0070,COG0070"	gltB	GXGXG motif
ADB40222.1	"47K6G03,4NDU8,COG1629,COG4771"	-	PFAM TonB-dependent Receptor Plug
ADC73018.1	"1MUA6,1RM8C,1WWUM,COG0019,COG0019"	btrK	PFAM Orn DAP Arg decarboxylase 2
EFF76666.1	"1MUW0,2VH08,3T2CJ06,COG2041,COG2041"	msrP	"Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine generated by the host defense mechanisms. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation. The catalytic subunit MsrP is non-stereospecific, being able to reduce both (R-) and (S-) diastereoisomers of methionine sulfoxide"
EJW10419.1	"1MUE6,2TRXP,3FCHE008,COG0081,COG0081"	rplA	"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release"
EKD89354.1	"1NCEP,2E4QE,2KX5606389,2VU6H,32ZIZ"	-	-
custom_1840466_2	"1NCUG,2KWBN06389,2VRKR,COG1463,COG1463"	mlaD	"ABC-type transport system involved in resistance to organic solvents, periplasmic component"
custom_188683_3	"1RGWZ,2KWKJ06389,2VT2B,COG3215,COG3215"	pilZ	pilus assembly protein PilZ
custom_985189_3	"1RI9T,2KWTI06389,2VSSD,COG0745,COG0745"	-	response regulator receiver
custom_1846349_2	"1MVVY,2KVQ306389,2VKWB,COG0480,COG0480"	fusA2	COG0480 Translation elongation factors (GTPases)
ENO90705.1	"1MWG2,2KUEP06389,2VN1E,COG1802,COG1802"	mdcY	transcriptional
WP_002628236.1	"1MUE6,2WJ1Z,42MZP,COG0081,COG0081"	rplA	"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release"
WP_003613847.1	"1MW6M,2TRCA,36ZSP,COG0664,COG0664"	srpI	#NAME?
custom_1495672_3	"1RIVH,2KWCC06389,2VSSQ,COG2062,COG2062"	sixA	"phosphohistidine phosphatase, SixA"
custom_1696196_6	"1MWH8,28HN3,2KZHM06389,2VHI2,2Z7WH"	csd1	CRISPR-associated protein (Cas_Csd1)
custom_1179957_2	"1N9J3,2KZ6K06389,2VX89,COG3655,COG3655"	-	Cro/C1-type HTH DNA-binding domain
custom_461493_17	"1MZDT,2KX1F06389,2VSVX,COG0199,COG0199"	rpsN	"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site"
custom_594515_10	"1MU33,2KUV506389,2VI8V,COG0052,COG0052"	rpsB	Belongs to the universal ribosomal protein uS2 family
custom_1555236_2	"1P068,2FCIY,2W4TJ,344N9"	-	-
custom_2330311_25	"1RHKH,2AM81,2KYG406389,2VYCK,31C2U"	-	-
WP_004381580.1	"1N7GP,2KYVS06389,2VPSB,COG1596,COG1596"	wza	COG1596 Periplasmic protein involved in polysaccharide export
custom_1366591_2	"1MUKX,1RNDK,3NKP2,COG0372,COG0372"	gltA	Belongs to the citrate synthase family
WP_004721665.1	"1MUTQ,1RMP2,41ESQ,COG0129,COG0129"	ilvD	Belongs to the IlvD Edd family
WP_005878802.1	"1RDG3,2VRBD,4746P,COG0096,COG0096"	rpsH	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit"
WP_005922451.1	"1RGWK,1S67I,1X6VI,COG0347,COG0347"	glnK	"at high nitrogen levels P-II prevents the phosphorylation of NR-I, the transcriptional activator of the glutamine synthetase gene (glnA)"""
WP_006529547.1	"1G4ZN,COG0105,COG0105"	ndk	"Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate"
